date,total_ratings,overall_avg_total_ratings,30_day_avg_total_ratings,percentile_total_ratings,average_rating,overall_avg_rating,30_day_avg_rating,percentile_average_rating,unique_datasets,narrative_summary
2024-07-23,2,8.76,2.67,0.07,3.0,2.98,2.72,0.51,2,Yesterday was dead quiet and the vibes were decent
2024-07-24,3,8.76,2.7,0.14,2.33,2.98,2.71,0.25,3,Yesterday was very quiet and the vibes were below average
2024-07-25,3,8.76,2.77,0.14,4.33,2.98,2.82,0.92,3,Yesterday was very quiet and the vibes were absolutely stellar
2024-07-27,1,8.76,2.77,0.02,1.0,2.98,2.82,0.02,1,Yesterday was dead quiet and the vibes were rock bottom
2024-07-28,1,8.76,2.6,0.02,1.0,2.98,2.8,0.02,1,Yesterday was dead quiet and the vibes were rock bottom
2024-07-29,2,8.76,2.47,0.07,2.5,2.98,2.77,0.31,2,Yesterday was dead quiet and the vibes were a bit off
2024-07-30,4,8.76,2.43,0.22,2.0,2.98,2.73,0.15,3,Yesterday was pretty quiet and the vibes were not great
2024-07-31,5,8.76,2.53,0.31,3.0,2.98,2.66,0.51,5,Yesterday was low-key and the vibes were decent
2024-08-01,5,8.76,2.53,0.31,1.8,2.98,2.64,0.11,5,Yesterday was low-key and the vibes were not great
2024-08-02,3,8.76,2.6,0.14,1.0,2.98,2.64,0.02,3,Yesterday was very quiet and the vibes were rock bottom
2024-08-03,3,8.76,2.67,0.14,2.33,2.98,2.55,0.25,3,Yesterday was very quiet and the vibes were below average
2024-08-05,1,8.76,2.63,0.02,5.0,2.98,2.68,0.98,1,Yesterday was dead quiet and the vibes were absolutely stellar
2024-08-06,3,8.76,2.7,0.14,2.33,2.98,2.73,0.25,3,Yesterday was very quiet and the vibes were below average
2024-08-07,6,8.76,2.73,0.4,2.5,2.98,2.69,0.31,6,Yesterday was somewhat active and the vibes were a bit off
2024-08-08,3,8.76,2.77,0.14,2.67,2.98,2.61,0.36,3,Yesterday was very quiet and the vibes were a bit off
2024-08-09,3,8.76,2.77,0.14,3.67,2.98,2.7,0.77,3,Yesterday was very quiet and the vibes were great
2024-08-10,2,8.76,2.8,0.07,5.0,2.98,2.83,0.98,2,Yesterday was dead quiet and the vibes were absolutely stellar
2024-08-12,14,8.76,3.17,0.86,4.14,2.98,2.85,0.88,5,Yesterday was very lively and the vibes were top notch
2024-08-13,2,8.76,3.2,0.07,3.0,2.98,2.91,0.51,2,Yesterday was dead quiet and the vibes were decent
2024-08-14,3,8.76,3.27,0.14,4.67,2.98,2.9,0.95,3,Yesterday was very quiet and the vibes were absolutely stellar
2024-08-15,5,8.76,3.4,0.31,3.4,2.98,2.98,0.66,4,Yesterday was low-key and the vibes were solid
2024-08-16,6,8.76,3.57,0.4,3.67,2.98,2.94,0.77,5,Yesterday was somewhat active and the vibes were great
2024-08-17,1,8.76,3.57,0.02,4.0,2.98,2.9,0.86,1,Yesterday was dead quiet and the vibes were top notch
2024-08-18,3,8.76,3.5,0.14,3.67,2.98,2.92,0.77,2,Yesterday was very quiet and the vibes were great
2024-08-19,4,8.76,3.5,0.22,3.0,2.98,2.87,0.51,4,Yesterday was pretty quiet and the vibes were decent
2024-08-20,4,8.76,3.53,0.22,2.75,2.98,2.89,0.39,4,Yesterday was pretty quiet and the vibes were a bit off
2024-08-21,1,8.76,3.37,0.02,5.0,2.98,2.94,0.98,1,Yesterday was dead quiet and the vibes were absolutely stellar
2024-08-22,3,8.76,3.43,0.14,3.67,2.98,3.03,0.77,3,Yesterday was very quiet and the vibes were great
2024-08-23,1,8.76,3.3,0.02,1.0,2.98,2.95,0.02,1,Yesterday was dead quiet and the vibes were rock bottom
2024-08-24,1,8.76,3.27,0.02,5.0,2.98,3.08,0.98,1,Yesterday was dead quiet and the vibes were absolutely stellar
2024-08-26,4,8.76,3.33,0.22,4.0,2.98,3.11,0.86,4,Yesterday was pretty quiet and the vibes were top notch
2024-08-27,3,8.76,3.33,0.14,1.0,2.98,3.07,0.02,3,Yesterday was very quiet and the vibes were rock bottom
2024-08-28,7,8.76,3.47,0.48,2.14,2.98,3.0,0.19,6,Yesterday was somewhat active and the vibes were not great
2024-08-29,4,8.76,3.57,0.22,5.0,2.98,3.13,0.98,4,Yesterday was pretty quiet and the vibes were absolutely stellar
2024-08-30,12,8.76,3.93,0.79,4.08,2.98,3.23,0.88,8,Yesterday was buzzing and the vibes were top notch
2024-09-01,4,8.76,4.0,0.22,5.0,2.98,3.32,0.98,2,Yesterday was pretty quiet and the vibes were absolutely stellar
2024-09-02,2,8.76,3.93,0.07,5.0,2.98,3.42,0.98,2,Yesterday was dead quiet and the vibes were absolutely stellar
2024-09-03,5,8.76,3.93,0.31,2.2,2.98,3.39,0.2,5,Yesterday was low-key and the vibes were below average
2024-09-04,2,8.76,3.83,0.07,3.0,2.98,3.43,0.51,2,Yesterday was dead quiet and the vibes were decent
2024-09-05,1,8.76,3.77,0.02,5.0,2.98,3.56,0.98,1,Yesterday was dead quiet and the vibes were absolutely stellar
2024-09-06,4,8.76,3.8,0.22,3.0,2.98,3.59,0.51,2,Yesterday was pretty quiet and the vibes were decent
2024-09-07,1,8.76,3.8,0.02,1.0,2.98,3.45,0.02,1,Yesterday was dead quiet and the vibes were rock bottom
2024-09-08,3,8.76,3.8,0.14,3.67,2.98,3.5,0.77,3,Yesterday was very quiet and the vibes were great
2024-09-09,4,8.76,3.73,0.22,2.0,2.98,3.48,0.15,4,Yesterday was pretty quiet and the vibes were not great
2024-09-10,7,8.76,3.87,0.48,3.57,2.98,3.51,0.73,7,Yesterday was somewhat active and the vibes were great
2024-09-11,6,8.76,3.97,0.4,4.33,2.98,3.53,0.92,3,Yesterday was somewhat active and the vibes were absolutely stellar
2024-09-12,5,8.76,4.07,0.31,1.8,2.98,3.43,0.11,5,Yesterday was low-key and the vibes were not great
2024-09-13,8,8.76,3.87,0.56,3.0,2.98,3.39,0.51,7,Yesterday was getting there and the vibes were decent
2024-09-14,4,8.76,3.93,0.22,2.0,2.98,3.35,0.15,4,Yesterday was pretty quiet and the vibes were not great
2024-09-15,3,8.76,3.93,0.14,1.67,2.98,3.25,0.09,3,Yesterday was very quiet and the vibes were rock bottom
2024-09-16,6,8.76,3.97,0.4,2.5,2.98,3.22,0.31,6,Yesterday was somewhat active and the vibes were a bit off
2024-09-17,4,8.76,3.9,0.22,4.0,2.98,3.24,0.86,3,Yesterday was pretty quiet and the vibes were top notch
2024-09-18,467,8.76,19.43,1.0,4.98,2.98,3.27,0.96,6,Yesterday was off the charts and the vibes were absolutely stellar
2024-09-19,183,8.76,25.43,1.0,4.83,2.98,3.31,0.95,11,Yesterday was off the charts and the vibes were absolutely stellar
2024-09-20,14,8.76,25.77,0.86,4.07,2.98,3.34,0.88,5,Yesterday was very lively and the vibes were top notch
2024-09-21,1,8.76,25.67,0.02,3.0,2.98,3.35,0.51,1,Yesterday was dead quiet and the vibes were decent
2024-09-22,3,8.76,25.73,0.14,1.0,2.98,3.22,0.02,3,Yesterday was very quiet and the vibes were rock bottom
2024-09-23,3,8.76,25.73,0.14,2.33,2.98,3.17,0.25,3,Yesterday was very quiet and the vibes were below average
2024-09-24,12,8.76,26.1,0.79,2.67,2.98,3.23,0.36,12,Yesterday was buzzing and the vibes were a bit off
2024-09-25,8,8.76,26.33,0.56,4.0,2.98,3.19,0.86,5,Yesterday was getting there and the vibes were top notch
2024-09-26,9,8.76,26.5,0.64,2.67,2.98,3.15,0.36,9,Yesterday was busy and the vibes were a bit off
2024-09-27,6,8.76,26.6,0.4,3.83,2.98,3.24,0.83,4,Yesterday was somewhat active and the vibes were top notch
2024-09-28,8,8.76,26.63,0.56,1.5,2.98,3.22,0.07,5,Yesterday was getting there and the vibes were rock bottom
2024-09-29,2,8.76,26.57,0.07,1.0,2.98,3.09,0.02,2,Yesterday was dead quiet and the vibes were rock bottom
2024-09-30,5,8.76,26.33,0.31,3.4,2.98,3.07,0.66,5,Yesterday was low-key and the vibes were solid
2024-10-01,33,8.76,27.3,0.99,3.67,2.98,3.02,0.77,14,Yesterday was off the charts and the vibes were great
2024-10-02,11,8.76,27.6,0.75,2.55,2.98,2.94,0.32,9,Yesterday was buzzing and the vibes were a bit off
2024-10-03,10,8.76,27.77,0.7,3.5,2.98,2.98,0.7,9,Yesterday was buzzing and the vibes were great
2024-10-04,3,8.76,27.8,0.14,3.67,2.98,3.01,0.77,3,Yesterday was very quiet and the vibes were great
2024-10-05,7,8.76,28.0,0.48,2.14,2.98,2.91,0.19,6,Yesterday was somewhat active and the vibes were not great
2024-10-07,5,8.76,28.03,0.31,4.0,2.98,2.94,0.86,5,Yesterday was low-key and the vibes were top notch
2024-10-08,10,8.76,28.33,0.7,3.6,2.98,3.03,0.73,10,Yesterday was buzzing and the vibes were great
2024-10-09,8,8.76,28.5,0.56,3.25,2.98,3.02,0.61,8,Yesterday was getting there and the vibes were solid
2024-10-10,9,8.76,28.67,0.64,3.22,2.98,3.06,0.6,8,Yesterday was busy and the vibes were solid
2024-10-11,9,8.76,28.73,0.64,3.33,2.98,3.05,0.64,8,Yesterday was busy and the vibes were solid
2024-10-12,1,8.76,28.57,0.02,1.0,2.98,2.94,0.02,1,Yesterday was dead quiet and the vibes were rock bottom
2024-10-13,7,8.76,28.63,0.48,2.29,2.98,2.96,0.23,5,Yesterday was somewhat active and the vibes were below average
2024-10-14,11,8.76,28.73,0.75,5.0,2.98,3.02,0.98,2,Yesterday was buzzing and the vibes were absolutely stellar
2024-10-15,8,8.76,28.87,0.56,2.88,2.98,3.05,0.44,8,Yesterday was getting there and the vibes were about average
2024-10-16,12,8.76,29.17,0.79,1.67,2.98,3.05,0.09,6,Yesterday was buzzing and the vibes were rock bottom
2024-10-17,3,8.76,29.07,0.14,5.0,2.98,3.14,0.98,3,Yesterday was very quiet and the vibes were absolutely stellar
2024-10-18,12,8.76,29.33,0.79,3.33,2.98,3.11,0.64,12,Yesterday was buzzing and the vibes were solid
2024-10-19,4,8.76,13.9,0.22,3.0,2.98,3.05,0.51,3,Yesterday was pretty quiet and the vibes were decent
2024-10-20,1,8.76,7.83,0.02,3.0,2.98,2.99,0.51,1,Yesterday was dead quiet and the vibes were decent
2024-10-21,22,8.76,8.1,0.97,3.18,2.98,2.96,0.59,10,Yesterday was off the charts and the vibes were decent
